role,description
Software Engineer,software development programming algorithms data structures debugging git python java c++ backend development system design
Backend Engineer,backend development api design microservices distributed systems node.js spring boot flask django databases authentication scalability
Frontend Engineer,frontend development html css javascript react angular vue responsive design browser apis ui development
Full Stack Engineer,frontend backend development react node.js databases authentication rest apis full stack web architecture
Web Developer,web application development html css javascript backend integration responsive design frameworks
Java Developer,java programming spring boot backend development microservices rest api database integration
Python Developer,python programming flask django backend development automation scripting data processing
C++ Developer,c++ programming systems development algorithms memory management performance optimization
C# Developer,c# programming .net development application architecture backend services
Go Developer,go programming backend development microservices distributed systems performance optimization
Rust Developer,rust programming systems development memory safety concurrent programming
Node.js Developer,node.js backend development express apis authentication databases microservices
React Developer,react javascript frontend development ui components state management web interfaces
Angular Developer,angular typescript frontend development web applications responsive ui frameworks
Vue.js Developer,vue javascript frontend development web interfaces components state management
Mobile App Developer,mobile app development android ios kotlin swift react native flutter ui apis
Android Developer,android development kotlin java android sdk mobile ui rest api firebase debugging
iOS Developer,ios development swift objective-c ios sdk mobile ui networking application lifecycle
Flutter Developer,flutter mobile development dart cross platform apps ui components api integration
React Native Developer,react native mobile apps javascript cross platform development ui frameworks
Game Developer,game development c++ unity unreal engine gameplay physics rendering systems
Unity Developer,unity engine c# game development physics animation rendering mechanics
Unreal Engine Developer,unreal engine c++ game programming graphics rendering gameplay systems
Graphics Engineer,computer graphics rendering shaders gpu programming opengl directx
AR VR Developer,augmented reality virtual reality unity unreal 3d graphics spatial computing
Embedded Systems Engineer,embedded systems firmware microcontrollers c c++ hardware communication debugging
Firmware Engineer,firmware development embedded c microcontrollers hardware drivers real time systems
IoT Engineer,internet of things sensors device communication embedded systems cloud integration
Robotics Engineer,robotics python ros computer vision motion planning sensor integration
Autonomous Systems Engineer,autonomous systems robotics perception planning sensor fusion
Drone Software Engineer,drone control systems navigation algorithms embedded systems sensors
Computer Vision Engineer,computer vision image processing opencv deep learning object detection segmentation
NLP Engineer,natural language processing transformers text classification sentiment analysis tokenization
AI Engineer,artificial intelligence machine learning deep learning neural networks model deployment
Machine Learning Engineer,ml pipelines python scikit learn tensorflow pytorch feature engineering model deployment
Deep Learning Engineer,deep neural networks pytorch tensorflow cnn rnn transformers gpu training
Generative AI Engineer,generative ai llm transformers prompt engineering diffusion models
Prompt Engineer,llm prompt engineering generative ai evaluation pipelines language models
AI Research Engineer,artificial intelligence research neural networks deep learning algorithms experimentation
Data Scientist,data analysis python pandas numpy machine learning statistics predictive modeling
Data Analyst,sql python data visualization dashboards statistics reporting
